Año,Época,Título,%_Verbos,%_Adjetivos,Total_Palabras
2014,Siglo XXI (2000+),Los ninos,15.566765197275414,4.180053977637836,31124
1964,2da Mitad S. XX (1951-1999),El dia senalado,15.089238247132982,5.478848636743374,65835
1904,1ra Mitad S. XX (1900-1950),Inocencia,13.824138065674903,6.079418999648588,51222
1963,2da Mitad S. XX (1951-1999),El Hostigante Verano de los dioses,15.62991291937516,7.522829395564575,89687
2010,Siglo XXI (2000+),Tres ataudes blancos,13.377572721884551,7.033365486303997,86047
1897,Siglo XIX,El Moro,14.354734151204179,5.990924324522671,81757
1896,Siglo XIX,Frutos de mi tierra,13.419305936821404,6.193919777113123,97628
1961,2da Mitad S. XX (1951-1999),El coronel no tiene quien le escriba,15.532937517670343,5.349165959852983,17685
1962,2da Mitad S. XX (1951-1999),La Casa Grande,15.582347588717017,5.7931452835911434,26376
1999,2da Mitad S. XX (1951-1999),Rosario Tijeras,17.721273291925467,4.2459239130434785,41216
2017,Siglo XXI (2000+),El diablo de las provincias,13.176095617529882,7.292430278884463,31375
1915,1ra Mitad S. XX (1900-1950),Diana cazadora,12.849596886294135,7.771290890556945,53955
2003,Siglo XXI (2000+),Al diablo la maldita primavera,13.42492985568515,5.995294354483574,79479
2014,Siglo XXI (2000+),Triptico de la infamia,11.941489049724924,6.909171955096248,85249
