Año,Época,Título,%_Verbos,%_Adjetivos,Total_Palabras
2014,Siglo XXI (2000+),Los ninos,15.102959676885385,4.3203337085347275,30206
1964,2da Mitad S. XX (1951-1999),El dia senalado,14.821086963339292,5.724903565716436,63774
1904,1ra Mitad S. XX (1900-1950),Inocencia,13.30568028512172,6.147433703159293,49663
1963,2da Mitad S. XX (1951-1999),El Hostigante Verano de los dioses,15.006749490928225,7.716155306930241,87414
2010,Siglo XXI (2000+),Tres ataudes blancos,12.862368815592204,7.04047976011994,83375
1897,Siglo XIX,El Moro,14.034689372437716,6.087669504888048,79275
1896,Siglo XIX,Frutos de mi tierra,12.942275791109337,6.452764420553094,95246
1961,2da Mitad S. XX (1951-1999),El coronel no tiene quien le escriba,15.28254670313682,5.389047314205901,17183
1962,2da Mitad S. XX (1951-1999),La Casa Grande,14.634051186017476,5.824750312109862,25632
1999,2da Mitad S. XX (1951-1999),Rosario Tijeras,16.900249376558605,4.678304239401497,40100
2017,Siglo XXI (2000+),El diablo de las provincias,12.72013093289689,7.4075286415711945,30550
1915,1ra Mitad S. XX (1900-1950),Diana cazadora,12.57986005476118,7.704593854578643,52592
2003,Siglo XXI (2000+),Al diablo la maldita primavera,12.899806076276665,6.001292824822237,77350
2014,Siglo XXI (2000+),Triptico de la infamia,11.696792582169788,6.862214525381535,83151
